hitTime,type,direction
5.000,flick,left
5.606,flick,right
6.212,flick,up
7.424,flick,left
8.030,flick,right
8.485,flick,up
9.242,flick,left
10.455,flick,up
11.061,flick,right
11.667,flick,left
12.879,flick,left
13.485,flick,right
14.091,flick,up
14.697,flick,up
15.152,flick,right
15.909,flick,left
17.121,flick,right
17.727,flick,up
18.333,flick,up
18.939,flick,left
20.152,flick,left
20.758,flick,right
21.364,flick,up
21.970,flick,left
22.576,flick,right
23.182,flick,left
23.594,flick,right
24.200,flick,up
